StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q13,Q14,Q16,Q5,Q4,Q4_4_TEXT,Q3,Q2,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q35,Q10,Q39,Q40,Q45,Q9,Q37,Q38,SC0,SC1,SC2
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Participant Number,Task Condition,"Student Values Study Information

 

Thank you for your interest in taking part in this study into Student Values. It consists of three sections and participation is rewarded with receipt of 1 credit (in combination with a second short study on Personality and Relationship Success). You will be presented with a few short questionnaires, and a short writing task.

                                                                           

Consent

 

I understand that my participation in this project will involve a few short questions about myself and a writing task, taking approximately 7 minutes of my time. 

 

I understand that participation in this study is entirely voluntary and that I can withdraw from the study at any time without giving a reason and without loss of payment. 

 

I understand that I am free to ask any questions at any time. I am free to withdraw or discuss my concerns with the researcher, Samuel Taylor (TaylorSJ9@cardiff.ac.uk), the supervisor of this project, Dr Richard Morey (moreyr@cardiff.ac.uk), or the School of Psychology, Cardiff University.

 

I understand that the information provided by me will be held totally anonymously, so that it is impossible to trace this information back to me individually. I understand that this information may be retained indefinitely. 

 

I also understand that at the end of the study I will be provided with additional information and feedback about the purpose of the study.

 

Privacy Notice:

 

The information provided on the consent form will be held in compliance with GDPR regulations. Cardiff University is the data controller and Matt Cooper is the data protection officer (inforequest@cardiff.ac.uk). This information is being collected by Samuel Taylor, supervised by Dr Richard Morey. This information will be held securely and separately from the research information you provide. Only the researcher will have access to this form and it will be destroyed after 7 years. The lawful basis for processing this information is public interest.",How old are you?,What is your gender? - Selected Choice,What is your gender? - Other - Text,"How much do you like your name, in total?","To what extent does the statement ""I have high self esteem"" apply to you?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Personality and Relationship Success
 

Thank you for your interest in taking part in this study into Personality and Relationship Success. It consists of a short questionnaire and a comprehension task, and participation is rewarded with receipt of 1 credit (in combination with a second short study on Student Values). You will be presented with a short questionnaire and a data comprehension task. 



                                                                           

Consent

 

I understand that my participation in this project will involve a short questionnaire and a data comprehension task that will take approximately 7 minutes of my time. 

 

I understand that participation in this study is entirely voluntary and that I can withdraw from the study at any time without giving a reason and without loss of payment. 

 

I understand that I am free to ask any questions at any time. I am free to withdraw or discuss my concerns with the researcher, Samuel Taylor (TaylorSJ9@cardiff.ac.uk), the supervisor of this project, Dr Richard Morey (moreyr@cardiff.ac.uk), or the School of Psychology, Cardiff University.

 

I understand that the information provided by me will be held totally anonymously, so that it is impossible to trace this information back to me individually. I understand that this information may be retained indefinitely. 

 

I also understand that at the end of the study I will be provided with additional information and feedback about the purpose of the study.

 

Privacy Notice:

 

The information provided on the consent form will be held in compliance with GDPR regulations. Cardiff University is the data controller and Matt Cooper is the data protection officer (inforequest@cardiff.ac.uk). This information is being collected by Samuel Taylor, supervised by Dr Richard Morey. This information will be held securely and separately from the research information you provide. Only the researcher will have access to this form and it will be destroyed after 7 years. The lawful basis for processing this information is public interest.",Question 1.,Question 2.,Question 3.,Question 4.,Question 5.,Question 6.,Question 7.,Question 8.,Question 9.,Question 10.,Question 11.,Question 12.,Question 13.,"Scoring Individualistic and More Information



Scoring the Individualistic Inventory is quite simple. For the 13 questions, the number of times that the statement from each pair marked ""1."" was chosen is counted. Then, the number of times the statement marked ""2."" was chosen is also counted. 

 

	
		
			Number of times you chose 1.
			Number of times you chose 2.
		
		
			 [SC_a3H2S66JzIQZKFD-Score]
			 [SC_bPkLAr3AbkRPKKh-Score]
		
	



 

If the number of times you chose 1. is greater than the number of times you chose 2., you are low in individualism.


If the number of times you chose 2. is greater than the number of times you chose 1., you are high in individualism.



Based on this, click below whether you are low or high in individualism:","Researchers are interested in which personality traits are associated with successful relationships. High scores in some traits are associated with a high rate of successful relationships, but high scores in other traits are associated with a high rate of failed relationships. 



Researchers have conducted an experiment on individualism and the success of relationships. In the experiment, participants were divided into those high in individualism and those low in individualism. 



In each group, the number of people whose relationships failed and the number whose relationships succeeded are recorded in the table below. Because participants do not always complete studies, the total number of patients in each group is not exactly the same, but this does not prevent assessment of the results.



Please indicate whether the experiment shows that having high individualism is likely to lead to failed or successful relationships. 
 

	
		
			 
			Failed

			Relationships
			Successful Relationships
		
		
			People high in individualism.
			223
			75
		
		
			People low in individualism.
			107
			21
		
	





What result does the study support?","According to the data in the table, to what degree is individualism associated with the success or failure of romantic relationships?","According to the data in the table, when a person is high in individualism, they are how likely to end up with romantic relationship failures compared with a person low in individualism?","One last question... If you have taken part in one of Dr Richard Morey's second year practicals, it is possible that you have come across the type of correlation task presented in the last task (presented again below). Were you aware of the task?
 Failed RelationshipsSuccessful RelationshipsPeople high in individualism.22375People low in individualism.10721","Researchers are interested in which personality traits are associated with successful relationships. High scores in some traits are associated with a high rate of successful relationships, but high scores in other traits are associated with a high rate of failed relationships. 



Researchers have conducted an experiment on individualism and the success of relationships. In the experiment, participants were divided into those high in individualism and those low in individualism. 



In each group, the number of people whose relationships failed and the number whose relationships succeeded are recorded in the table below. Because participants do not always complete studies, the total number of participants in each group is not exactly the same, but this does not prevent assessment of the results.



Please indicate whether the experiment shows that having high individualism is likely to lead to failed or successful relationships. 
 

	
		
			 
			Successful Relationships
			Failed

			 Relationships
		
		
			People high in individualism.
			223
			75
		
		
			People low in individualism.
			107
			21
		
	





What result does the study support?","According to the data in the table, to what degree is individualism associated with the success or failure of romantic relationships?","According to the data in the table, when a person is high in individualism, they are how likely to end up with romantic relationship failures compared with a person low in individualism?",Individualism,1s,2s
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID10""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""SC_3K38lDAFsmD0yBT""}","{""ImportId"":""SC_a3H2S66JzIQZKFD""}","{""ImportId"":""SC_bPkLAr3AbkRPKKh""}"
2020-02-18 08:06:02,2020-02-18 08:23:20,0,100,1038,1,2020-02-18 08:23:21,R_w4NJx0qXYS74Pn3,anonymous,EN-GB,1,1,1,20,2,,9,8,0,0,302.569,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,8,8,,,,,11,1,12
2020-02-18 08:09:10,2020-02-18 08:28:46,0,100,1176,1,2020-02-18 08:28:47,R_1GZm9D4Kg9kYIQL,anonymous,EN-GB,3,2,1,18,2,,7,4,294.8,294.816,316.23,2,1,2,1,1,1,2,2,1,1,1,2,1,2,1,1,,,,,2,5,5,-3,8,5
2020-02-18 08:08:11,2020-02-18 08:33:21,0,100,1509,1,2020-02-18 08:33:21,R_0iZw5QqoXdY6YIF,anonymous,EN-GB,2,1,1,21,3,,7,5,0,0,518.369,0,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,6,8,No,,,,1,6,7
2020-02-18 08:39:48,2020-02-18 08:51:44,0,100,716,1,2020-02-18 08:51:44,R_1OiO0mSVubBpUHb,anonymous,EN-GB,4,2,1,19,2,,5,1,0,0,324.194,0,1,2,2,2,1,2,2,2,1,2,1,1,2,1,2,,,,No,1,3,5,3,5,8
2020-02-18 09:35:54,2020-02-18 09:51:52,0,100,958,1,2020-02-18 09:51:53,R_sLQf11Q2lVGE6Vb,anonymous,EN-GB,5,1,1,19,2,,9,7,340.058,340.426,340.88,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,3,7,,,,,1,6,7
2020-02-18 09:52:51,2020-02-18 10:09:52,0,100,1021,1,2020-02-18 10:09:53,R_2aKYytFRQs0WWcy,anonymous,EN-GB,6,2,1,20,2,,8,4,0,0,321.129,0,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,,,,no,2,6,7,-1,7,6
2020-02-21 08:15:36,2020-02-21 08:27:07,0,100,691,1,2020-02-21 08:27:07,R_1puqiceHjWMmabW,anonymous,EN-GB,7,2,1,20,2,,5,4,0,0,329.036,0,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,,,,Did not take part,1,3,5,-1,7,6
2020-02-21 08:16:36,2020-02-21 08:27:38,0,100,661,1,2020-02-21 08:27:38,R_cVhdmBMw5cp741b,anonymous,EN-GB,9,1,1,19,2,,9,7,0,0,357.841,0,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,6,7,no,,,,-3,8,5
